Shipment_ID,Origin,Destination,Cargo_Type,Weight_kg,Volume_m3,Departure_Date,Arrival_Date,Carrier,Cost_USD,Status,Priority,Packaging_Type,Customer_ID,Tracking_Number,Warehouse_Location,Transit_Time_Days,Distance_km,Num_Checkpoints,Temperature_C,Humidity_Percent,Delay_Hours,Fuel_Consumed_L,CO2_Emissions_kg,Handling_Events,Insurance_Value_USD,Cargo_Value_USD,Customs_Fees_USD,No_of_Items,Vibration_Events,Transport_Method
S1000,Port Christopherport,Stephensmouth,Machinery,2611.87,42.86,30-06-2025,11-07-2025,RapidTrans,3723.47,In Transit,Low,Pallet,b67e9135-1bc7-47af-8e84-182808400c71,4.8537E+12,Sextonview,2,1366,3,27.5,81,0,7417.7,19879.44,3,18919,87545,2298,461,7,Rail
S1001,Richardborough,Gomezton,Furniture,2248.51,63.46,08-07-2025,16-07-2025,FastTrack,3383.11,Delayed,Medium,Container,b15ddc3b-4ec6-4ad0-af88-1d3406a680a6,9.57839E+12,Perkinschester,2,1000,1,24.4,39,0,,,6,19324,142476,3075,6,5,Road
S1002,West Jeffrey,Josephton,Pharmaceuticals,1675.53,14.03,27-07-2025,30-07-2025,CargoIndia,3197.83,Delivered,Medium,Box,b8f15326-dbce-4dd0-94ee-2794ec9e94b2,1.11507E+12,Martinside,2,2764,6,24.6,25,0,5753.4,15419.11,4,16417,121299,1854,857,13,Rail
S1003,Port Jenniferhaven,Michaelshire,Machinery,,85.98,17-08-2025,22-08-2025,BlueCargo,,Awaiting Pickup,Low,Box,2a84fe71-3b00-44a7-9e26-2511bb023b4d,3.87783E+12,Port Ronaldport,2,3262,4,20.1,78,0,34088.9,91358.25,7,29812,50638,1597,1386,10,Road
S1004,Richardview,Lake Micheleberg,Apparel,164.77,50.11,09-07-2025,11-07-2025,FastTrack,1567.37,Delayed,Medium,Container,3feca65b-0b22-46bd-b315-873d516e619b,5.54971E+12,New Nicoleview,3,1803,6,23.8,14,12,927.6,2485.97,6,22875,9983,3303,247,6,Road
S1005,South Zacharyland,Richardview,Books,3232.41,23.62,23-07-2025,31-07-2025,FastTrack,4062.11,Delayed,High,Pallet,f54a3672-abde-4da7-896b-e62ef1090c98,6.23617E+11,Angelaport,2,1187,6,29.7,39,0,15323.3,41066.44,,14049,136626,3086,27,13,Road
S1006,Robbinsville,Port Robin,Electronics,1266.9,97.51,04-08-2025,09-08-2025,EcoFreight,2372,Delivered,Low,Crate,956b68e9-a3ef-45c0-8a86-18b934ea98c0,8.15978E+12,West Christine,1,260,3,17.1,72,0,1689.8,4528.66,1,4535,74182,2873,657,13,Road
S1007,Richardview,New Yeseniaville,Electronics,4295,9.91,17-08-2025,30-08-2025,BlueCargo,6674.6,In Transit,Medium,Crate,1ce9768a-bf39-477c-854f-d1e1fce4b799,4.07833E+12,West Tamara,10,4561,4,16.1,28,0,23371.6,62635.89,3,1507,76813,2952,1330,8,Ship
S1008,Crystalshire,South Zacharyland,Food,3856.92,,29-07-2025,10-08-2025,RapidTrans,,Delayed,High,Container,9b691e60-e7ab-473d-be6e-d3117f43c84a,2.7776E+12,West Mariah,2,3326,4,28.2,84,22,13788.4,36952.91,2,3813,79245,1218,1113,10,Rail
S1009,Jonathanstad,Port Robin,Apparel,1058.9,24.44,23-08-2025,03-09-2025,CargoIndia,1941.3,Awaiting Pickup,High,Pallet,4003dd0b-f7e3-4a4f-b149-530231e37cd3,8.7496E+12,New Dylan,2,1276,4,0.3,89,0,7080.6,18976.01,5,19770,92888,1484,1399,5,Rail
